A,A,A
B,B,B
C,C,C
D,D,D
E,E,E
F,F,F
G,G,G
H,H,H
I,I,I
J,J,J
K,K,K
L,L,L
M,M,M
N,N,N
O,O,O
P,P,P
Q,Q,Q
R,R,R
S,S,S
T,T,T
U,U,U
V,V,V
W,W,W
X,X,X
Y,Y,Y
Z,Z,Z
1,1,ONE
2,2,TWO
3,3,THREE
4,4,FOUR
5,5,FIVE
6,6,SIX
7,7,SEVEN
8,8,EIGHT
9,9,NINE
0,0,ZERO
\(バックスラッシュ),\(Grless),GRLESS
Esc,Esc,ESC
Tab(タブ),Tab,TAB
Enter(エンター),Enter,RET
Space(スペースバー),Space,SPACE
BackSpace(バックスペース),BackSpace,BACK_SPACE
Delete(デリート),Delete,DEL
:(コロン),;(semicolon),SEMI_COLON
.(ピリオド),.(Period),PERIOD
",(コンマ)",",(Comma)",COMMA
^,'"(Quote)',QUOTE
@(アットマーク),`,ACCENT_GRAVE
-,-,MINUS
(日本語キーボードには該当ボタンなし),+,PLUS
/(スラッシュ),/(Slash),SLASH
\(￥ボタンによるバックスラッシュ),\,BACK_SLASH
;,=,EQUAL
[,[,LEFT_BRACKET
],],RIGHT_BRACKET
←,Left Arrow,LEFT_ARROW
↓,Down Arrow,DOWN_ARROW
→,Right Arrow,RIGHT_ARROW
↑,Up Arrow,UP_ARROW
Numpad 0,Numpad 0,NUMPAD_0
Numpad 1,Numpad 1,NUMPAD_1
Numpad 2,Numpad 2,NUMPAD_2
Numpad 3,Numpad 3,NUMPAD_3
Numpad 4,Numpad 4,NUMPAD_4
Numpad 5,Numpad 5,NUMPAD_5
Numpad 6,Numpad 6,NUMPAD_6
Numpad 7,Numpad 7,NUMPAD_7
Numpad 8,Numpad 8,NUMPAD_8
Numpad 9,Numpad 9,NUMPAD_9
Numpad .(ピリオド),Numpad .(Period),NUMPAD_PERIOD
Numpad /,Numpad /,NUMPAD_SLASH
Numpad *,Numpad *,NUMPAD_ASTERIX
Numpad -,Numpad -,NUMPAD_MINUS
Numpad +,Numpad +,NUMPAD_PLUS
Numpad Enter,Numpad Enter,NUMPAD_ENTER
Pause(ポーズ),Pause,PAUSE
Insert(インサート),Insert,INSERT
Home,Home,HOME
Page Up,Page Up,PAGE_UP
Page Down,Page Down,PAGE_DOWN
End,End,END
F1,F1,F1
F2,F2,F2
F3,F3,F3
F4,F4,F4
F5,F5,F5
F6,F6,F6
F7,F7,F7
F8,F8,F8
F9,F9,F9
F10,F10,F10
F11,F11,F11
F12,F12,F12
