"作成","Create"
"オブジェクトを固定","Fixed Object"
"結合","Union"
"スライス","Slice"
"交差","Intersect"
"差分","Difference"
"ナイフ投影","Knife"
"全モディファイアを適用","Apply All Modifier"
"トランスフォームを適用","Apply Transform"
"オプションをセット","Set Option To Mesh"
"オプションをコピー","Copy to Option"
"G-アジャストジェスチャー","G-Adjust Gesture"
"ポリゴン","Polygon"
"スキン","Skin"
"オペレーター実行をキープ","Keep Operating"
"ポリゴン作成後も引き続きグリースペンシル描画を続行します","Continue to draw grease pencil after polygon creation"
"グリースペンシルの描画中は透過表示にします。\nこれにより、ストロークがオブジェクトに隠れないようにします","XRay is enabled only when drawing a grease pencil.\n Turn off XRay when convert polygon.\n This will prevent the stroke from hiding in the object"
"アシスタント","Assistant"
"透過表示を使用","Use Xray View"
"ストロークを分離","Separate Stroke"
"GPオブジェクトを削除","Delete GP Object"
"ポリゴン化後にグリースペンシルオブジェクトを削除します","Delete grease pencil object after polygonization"
"カーブチューブ","Curve Tube"
"カーブチューブセットアップ","Curve Tube Setup"
"なめらかにする(モディファイアをソート)","Smoothly(Modifier Sort)"
"ベベルモディファイアの下にソート","Modifier Sort under the Bevel Modifier"
"形状を整形するモディファイアをオフ","Hide Mesh Shaping Modifier"
"透過してカット","Cut Through"
"ストロークを塞ぐ","Use Fill"
"実行前にソリッド化モディファイアを追加","Add Solidify in advance"
"半径を正規化","Use Normalize Radius"
"最大の半径を1.0として半径を正規化します","Normalizes the radius with the maximum radius of 1.0"
"カーブ設定","Curve Setting"
"作成するグリースペンシルを最前面表示します","Display the grease pencil to be created in Front"
"放射状に配列複製","Radial Array"
"-1 複製用オブジェクトを選択\n-2 回転の中心のオブジェクトをアクティブ選択\n-3 オペレーターを実行\n-4 複製用オブジェクトのトランスフォームが適用・原点が中心位置に移動、中心位置にエンプティが作成されて配列複製されます","-1 Select object for duplication\n-2 Active select the object at the center of rotation\n-3 Execute operator\n-4 Transform object for duplication is applied / The origin moves to the center position / the center position Empty will be created and array will be duplicated"
"スマートボクセルリメッシュ","Smart Voxel Remesh"
"両端のポイントを選択","Select both ends point"
"配列複製","Array"
"回転を適用","Apply Rotate"
"ボクセルリメッシュ","Voxel Remesh"
"面を三角形と四角形に変換","Ngon Convert To Tris And Quads"
"ボクセルリメッシュを各選択オブジェクトに対して個別に行います","Individually Voxel Remesh to Selected Object"
"ボクセルリメッシュ(個別)","Voxel Remesh(Individually)"
"統一ボクセルサイズ","Unity Voxel Size"
"全モディファイアを適用・全選択オブジェクトを結合してから、ボクセルリメッシュを行います\nジオメトリのあるカーブは、穴を塞いでメッシュ化されます\nBlender2.81 以上である必要があります","Apply all modifiers  and Combine all selected objects , Run voxel remeshing\n Curves with geometry will be meshed by closing holes\n It must be Blender2.81 or higher"
"ブーリアン対象オブジェクトが選択されている場合、全てのブーリアンモディフィアを適用して、ブーリアン用オブジェクトを削除します\nブーリアン用オブジェクトが選択されている場合、ブーリアン対象オブジェクトのブーリアンモディフィアを適用して、ブーリアン用オブジェクトを削除します","If a Boolean target object is selected, apply all Boolean modifiers and remove the Boolean object.\nIf a Boolean object is selected, apply the Boolean modifier of the Boolean target object and remove the Boolean object"
"境界の内側のウェイト","Inside Boundary Weight"
"境界のウェイト","Boundary Weight"
"内側メッシュを構築","Build inner mesh"
"境界頂点から1つ内側の頂点にウェイトを設定します\n「内側メッシュを構築」オプションの有効が必要です","Set weight to one vertex inside the boundary vertex\nRequires 'Build Inner Mesh' option enabled"
"境界頂点にウェイトを設定します\n「内側メッシュを構築」オプションの有効が必要です","Set weight to the boundary vertex\nRequires 'Build Inner Mesh' option enabled"
"ウェイトで角を丸める","Round corners with weights"
"スクロールモディファイア","Scroll Modifiers"
"スクロールブールオブジェクト","Scroll Bool Object"
"スクロールブールモディファイア","Scroll Bool Modifiers"
"ブーリアンを実行します。\nオブジェクトを2つ以上選択している場合は、アクティブオブジェクトをブーリアン対象にし、その他をブーリアン用オブジェクトにします。\nそれ以外の場合は、グリースペンシルオブジェクトを作成して、すぐさまストロークを描いてブーリアンできるようにします\nCtrl + クリック: 自動適用","Run Boolean.\nWhen two or more objects are selected, the active object will be the target object and the others will be the bool objects.\nOtherwise, create a Grease Pencil object to immediately draw strokes for Boolean\nCtrl: Auto Apply"
"全てをメッシュに変換","Convert to mesh(All Apply)"
"モディファイアやカーブのジオメトリなどを全てメッシュに変換します。\n様々な処理の最後に実行されます","Converts all modifiers, curve geometry, et\n into a mesh. Executed at the end of various operations"
"グリースペンシルから生成した多角形ポリゴンをリメッシュします。\n作成したメッシュを立体的に変形したい場合に便利です","Remesh polygon polygons generated from grease pencil.\nUseful when you want to deform the created mesh in three dimensions"
"",""
